Dropzone Name,,State/County,Country,Address
British Skysports (Hibaldstow),Hibaldstow,Lincolnshire,United Kingdom,"Skydive Hibaldstow, Hibaldstow Airfield, Lincolnshire, DN20 9NN"
Cornish Parachute Club,Perranporth,Cornwall,United Kingdom,"Perranporth Airfield, Higher Trevellas, St Agnes, Cornwall"
Devon & Somerset Parachute School,Dunkeswell,Devon,United Kingdom,"Dunkeswell Airfield, Devon"
GoSkydive,Salisbury,Wiltshire,United Kingdom,"Old Sarum Park, Old Sarum, Salisbury, Wiltshire, SP4 6EB"
Headcorn Parachute Centre,Headcorn,Kent,United Kingdom,"Headcorn Airfield, Headcorn, Kent, TN27 9HX"
London Parachute School,Chiltern Park,Oxfordshire,United Kingdom,"Chiltern Park Aerodrome, Icknield Road, Ipsden, Oxfordshire, OX10 6AS"
North London Parachute Centre,Chatteris,Cambridgeshire,United Kingdom,"Chatteris Airfield, Block Fen Drove, Wimblington, March, Cambridgeshire, PE15 0FB"
North West Parachute Centre,Cockerham,Lancashire,United Kingdom,"Hillam Lane, Cockerham, Lancashire, LA2 0DY"
Peterborough Parachute Centre (Sibson),Wansford,Cambridgeshire,United Kingdom,"Sibson Airfield, Wansford, Peterborough, Cambridgeshire, PE8 6NE"
RAF Sport Parachute Association,Bicester,Oxfordshire,United Kingdom,"RAF Weston-on-the-Green, Bicester, Oxfordshire, OX25 3TQ"
Silver Stars Parachute Team,Netheravon,Wiltshire,United Kingdom,"Airfield Camp, Netheravon, Wiltshire, SP4 9SF"
SkyHigh Skydiving,Shotton Colliery,Durham,United Kingdom,"Shotton Airfield, Shotton Colliery, County Durham, DH6 2NH"
Skydive GB,Bridlington,East Yorkshire,United Kingdom,"East Leys Farm, Grindale, Bridlington, East Yorkshire, YO16 4YB"
Target Skysports (Langar),Langar,Nottinghamshire,United Kingdom,"Langar Airfield, Langar, Nottinghamshire, NG13 9HY"
The Parachute Centre,Tilstock,Shropshire,United Kingdom,"Tilstock Airfield, Whitchurch, Shropshire"
Skydive St Andrews,Glenrothes,Fife,United Kingdom,"Fife Airport, Glenrothes, Fife, KY6 2SL"
Skydive Strathallan,Auchterarder,Perthshire,United Kingdom,"Strathallan Airfield, Auchterarder, Perthshire, PH3 1LA"
Paragon Skydiving,Errol,Perthshire,United Kingdom,"Errol Airfield, Errol, Perthshire, PH2 7TB"
Air Adventures Wales,Haverfordwest,Pembrokeshire,United Kingdom,"Haverfordwest Airfield, Pembrokeshire, Wales"
GoSkydive Swansea,Swansea,Swansea,United Kingdom,"Swansea Airport, Fairwood Common, Swansea, SA2 7JU"
Skydive Ireland,Garvagh,Derry,United Kingdom,"Movenis Airfield, Carrowreagh Road, Garvagh, Coleraine, BT51 5LQ"
Skydive Jersey,Jersey,Jersey,United Kingdom,"La Route de la Haule, Jersey, JE3 7YD"
Skydive Sandown,Sandown,Isle of Wight,United Kingdom,"Sandown Airfield, Scotchells Brook Lane, Sandown, Isle of Wight, PO36 0JP"
